Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,21,379,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,21,697,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,21,983,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,21,1284,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,21,1574,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,21,1973,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,21,3298,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,21,3104,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,21,2364,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,21,994,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,22,18191,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,22,157,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,22,46,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,22,86,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,22,115,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,22,169,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,22,383,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,22,735,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,22,1003,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,22,1399,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,22,1563,e
