year,month,icd10_code,icd10_desc,value
2009,Apr,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",73
2009,Apr,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",142
2009,Apr,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",1916
2009,Apr,R95,Plötzlicher Kindstod,18
2009,Apr,S00-T98,"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2684
2009,Apr,S00-S09,Verletzungen des Kopfes,530
2009,Apr,S70-S79,Verletzungen der Hüfte und des Oberschenkels,280
2009,Apr,T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen,371
2009,Apr,T20-T32,Verbrennungen oder Verätzungen,31
2009,Apr,T33-T35,Erfrierungen,1
2009,Apr,T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,97
2009,Apr,T66-T78,Sonstige und n.n.bez. Schäden durch äußere Ursachen,585
2009,Apr,V01-V99,Transportmittelunfälle,398
2009,Apr,W00-W19,Stürze,653
2009,Apr,W65-W74,Unfälle durch Ertrinken und Untergehen,33
2009,Apr,X60-X84,Vorsätzliche Selbstbeschädigung,861
2009,Apr,X85-Y09,Tätlicher Angriff,42
2009,Apr,Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind",186
2009,Mai,Insgesamt,Insgesamt,67894
2009,Mai,A00-B99,KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten,1147
2009,Mai,A00-A09,Infektiöse Darmkrankheiten,192
2009,Mai,A15-A19,Tuberkulose,28
2009,Mai,B15-B19,Virushepatitis,70
2009,Mai,B20-B24,HIV-Krankheit (Humane Immundefizienz-Viruskrankheit),33
2009,Mai,C00-D48,KAPITEL II: Neubildungen,18251
2009,Mai,C00-C97,Bösartige Neubildungen,17767
2009,Mai,C15-C26,Bösartige Neubildungen der Verdauungsorgane,5570
2009,Mai,C30-C39,Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe,3692
2009,Mai,C43-C44,Melanom und sonstige bösartige Neubildungen der Haut,267
2009,Mai,C50,Bösartige Neubildung der Brustdrüse,1361
2009,Mai,C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane,870
2009,Mai,C60-C63,Bösartige Neubildungen der männlichen Genitalorgane,1012
2009,Mai,C64-C68,Bösartige Neubildungen der Harnorgane,1059
2009,Mai,C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes",1385
2009,Mai,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,177
2009,Mai,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",2238
2009,Mai,E10-E14,Diabetes mellitus,1836
2009,Mai,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,1691
